comdistnm,jobstatusdesc,licencetypes,tradename,first_iss_dt,industry_sector,is_growth,community_volume,impact_weight,is_licensed,vitality_index,recent_growth_count,strategic_action
HAYSBORO,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FUEL SALES/STORAGE,
MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),
FOOD SERVICE - PREMISES,
VAPE RETAILER",7-ELEVEN (CANADA STORE #37798),2016-11-04 11:14:01,Food & Beverage,0,212,2.59,0,0.13,943,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,"MANUFACTURER,
CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)",WOODCHIP WOODWORKING,2020-01-21 05:30:21,Construction & Trades,0,850,10.37,0,0.09,404,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),FOUNTAIN TIRE,2001-06-01 00:00:00,Automotive,0,359,4.38,0,0.09,80,URGENT INTERVENTION
STARFIELD,Renewal Licensed,WHOLESALER,ALFAGOMMA CANADA,2019-04-26 14:42:58,Wholesaler,0,89,1.09,0,0.04,73,STABLE OPERATIONS
SUNALTA,Renewal Licensed,PHOTOGRAPHER,BUD MOORE PHOTOGRAPHY,2004-12-24 08:04:12,Photographer,0,140,1.71,0,0.13,11,MONITOR FRICTION
DEERFOOT BUSINESS CENTRE,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),CEDAR MECHANICAL,2025-07-09 15:43:20,Construction & Trades,1,133,1.62,1,0.1,404,MONITOR FRICTION
HAYSBORO,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),CHICAGO DEEP DISH PIZZA,2020-09-16 14:49:09,Food & Beverage,0,212,2.59,0,0.13,943,URGENT INTERVENTION
HAYSBORO,Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",G AND A ROBOT,2025-11-05 14:59:08,Food & Beverage,1,212,2.59,1,0.13,943,URGENT INTERVENTION
BELTLINE,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),PEYTO APARTMENTS,2024-11-26 14:06:15,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
EAST SHEPARD INDUSTRIAL,Renewal Licensed,"MANUFACTURER,
CONTRACTOR",PRIME MILLWORK,2011-07-22 13:42:10,Construction & Trades,0,576,7.02,0,0.08,404,URGENT INTERVENTION
BRENTWOOD,Licensed,PERSONAL SERVICE,DENIM AND SMITH BARBERSHOPS,2026-02-23 11:55:26,Personal,1,182,2.22,1,0.12,449,URGENT INTERVENTION
VALLEYFIELD,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),FOOTHILLS READY MIX,2017-02-14 05:32:02,Construction & Trades,0,93,1.13,0,0.05,404,STABLE OPERATIONS
DOUGLASDALE/GLEN,Renewal Licensed,CONTRACTOR,CALGARY ELITE ROOFING,2018-10-02 09:54:13,Construction & Trades,0,69,0.84,0,0.1,404,STABLE OPERATIONS
NORTH AIRWAYS,Renewal Invoiced,SECONDHAND DEALER,INSTANT CASH FOR GOLD,2018-04-17 11:20:48,Retail Trade,0,247,3.01,0,0.1,894,URGENT INTERVENTION
EAST FAIRVIEW INDUSTRIAL,Renewal Licensed,WHOLESALER,WOLSELEY STUDIO,2015-02-14 05:33:06,Wholesaler,0,151,1.84,0,0.06,73,MONITOR FRICTION
BOWNESS,Renewal Licensed,RETAIL DEALER - PREMISES,BOWEST APPLIANCES,2022-08-17 12:07:05,Retail Trade,0,151,1.84,0,0.13,894,MONITOR FRICTION
KELVIN GROVE,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MAINSTREET ON ELBOW,2019-03-07 14:49:24,Retail Trade,0,31,0.38,0,0.1,894,STABLE OPERATIONS
CITADEL,Renewal Invoiced,LODGING HOUSE,LODGING HOUSE,2021-05-07 14:29:18,Lodging,0,4,0.05,0,0.0,6,STABLE OPERATIONS
EAU CLAIRE,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),SUBWAY 45699 CENTENNIAL,2024-11-19 16:03:23,Food & Beverage,0,42,0.51,0,0.05,943,STABLE OPERATIONS
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",SKY CAFE BY DEVILLE,2020-03-10 15:27:08,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
HIGHFIELD,Renewal Licensed,PERSONAL SERVICE,HAIR BY JANINE JULIANA,2024-10-04 08:19:21,Personal,0,441,5.38,0,0.1,449,URGENT INTERVENTION
SETON,Renewal Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),THE CIRCLE,2024-04-12 11:14:18,Retail Trade,0,111,1.35,0,0.23,894,MONITOR FRICTION
ACADIA,Licensed,PERSONAL SERVICE,CONFIDE HAIR,2026-03-23 10:44:07,Personal,1,198,2.41,1,0.14,449,URGENT INTERVENTION
BANKVIEW,Renewal Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),WHITE PLAINS MANOR,2001-06-01 00:00:00,Retail Trade,0,98,1.2,0,0.05,894,STABLE OPERATIONS
DOWNTOWN COMMERCIAL CORE,Renewal Invoiced,PERSONAL SERVICE (FITNESS CONDITIONING),FIFTH AVENUE PLACE (CONFERENCE/SHOWER),2024-05-24 05:34:20,Personal,0,830,10.12,0,0.13,449,URGENT INTERVENTION
PEGASUS,Renewal Licensed,RETAIL DEALER - PREMISES,SUNWARD CANADA,2023-08-08 16:25:54,Retail Trade,0,45,0.55,0,0.09,894,STABLE OPERATIONS
MAHOGANY,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FUEL SALES/STORAGE,
FOOD SERVICE - PREMISES (NO SEATING),
VAPE RETAILER",SHELL,2025-04-10 13:21:18,Food & Beverage,0,99,1.21,0,0.03,943,MONITOR FRICTION
PENBROOKE MEADOWS,Renewal Licensed,"CHARITABLE ORGANIZATION,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",PENBROOKE MEADOWS COMMUNITY ASSOCIATION,2016-08-09 05:32:14,Food & Beverage,0,13,0.16,0,0.0,943,STABLE OPERATIONS
CHINATOWN,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",SILVER DRAGON RESTAURANT,2001-06-01 00:00:00,Food & Beverage,0,152,1.85,0,0.12,943,MONITOR FRICTION
MISSION,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),FIREHOUSE SUBS,2024-12-19 07:58:33,Food & Beverage,0,164,2.0,0,0.13,943,MONITOR FRICTION
GREAT PLAINS,Renewal Licensed,WHOLESALER,WAGONMASTER DISTRIBUTORS,2015-11-13 07:16:06,Wholesaler,0,174,2.12,0,0.07,73,URGENT INTERVENTION
OGDEN,Renewal Invoiced,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FUEL SALES/STORAGE,
FOOD SERVICE - PREMISES (SEATING),
VAPE RETAILER",MAC'S CONVENIENCE STORE #22038,2016-05-13 09:41:34,Food & Beverage,0,72,0.88,0,0.14,943,STABLE OPERATIONS
GREAT PLAINS,Renewal Licensed,FOOD SERVICE - PREMISES,VERSACOLD LOGISTICS SERVICES,2010-04-20 05:48:02,Food & Beverage,0,174,2.12,0,0.07,943,URGENT INTERVENTION
WESTWINDS,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),TASTE OF CHENNAI,2023-03-01 10:50:39,Food & Beverage,0,366,4.46,0,0.22,943,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Pending Renewal,"RETAIL DEALER - PREMISES,
CONTRACTOR",RPM AT HOME TEAM,2025-07-07 08:32:29,Retail Trade,1,827,10.09,0,0.1,894,URGENT INTERVENTION
BELTLINE,Renewal Licensed,"RETAIL DEALER - PREMISES,
LIQUOR STORE",KJ WINES & SPIRITS,2001-06-01 00:00:00,Liquor & Nightlife,0,971,11.84,0,0.11,37,URGENT INTERVENTION
COUNTRY HILLS VILLAGE,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),MATSEM PHYSICAL THERAPY,2002-08-21 17:45:56,Massage,0,60,0.73,0,0.03,88,STABLE OPERATIONS
KELVIN GROVE,Pending Renewal,PERSONAL SERVICE,AESTHETICNAILSYYC,2025-05-26 08:07:57,Personal,1,31,0.38,0,0.1,449,STABLE OPERATIONS
SHAWNESSY,Renewal Licensed,RETAIL DEALER - PREMISES,TELUS,2012-01-26 15:40:33,Retail Trade,0,160,1.95,0,0.06,894,MONITOR FRICTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",BANK & BARON PUB (THE),2014-02-13 15:24:51,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
STONEY 3,Licensed,RETAIL DEALER - PREMISES,MODERN LIGHTING,2025-10-21 15:55:34,Retail Trade,1,250,3.05,1,0.28,894,URGENT INTERVENTION
SOUTH AIRWAYS,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),ALTITUDE RESTAURANT EQUIPMENT SERVICE,2024-05-15 09:20:53,Construction & Trades,0,496,6.05,0,0.1,404,URGENT INTERVENTION
WESTWINDS,Renewal Licensed,WHOLESALER,NORTHEAST WHOLESALE CASH & CARRY,2015-04-15 15:15:10,Wholesaler,0,366,4.46,0,0.22,73,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",COSMO PROF,2019-12-10 13:20:20,Retail Trade,0,827,10.09,0,0.1,894,URGENT INTERVENTION
FAIRVIEW INDUSTRIAL,Renewal Invoiced,"RETAIL DEALER - PREMISES,
PERSONAL SERVICE (PIERCING) (TATTOO)",CALGARY TATTOO COMPANY,2023-05-16 10:13:40,Retail Trade,0,325,3.96,0,0.1,894,URGENT INTERVENTION
MISSION,Renewal Licensed,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),CLEARWATER APARTMENTS,2023-07-31 11:51:55,Retail Trade,0,164,2.0,0,0.13,894,MONITOR FRICTION
FALCONRIDGE,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),MARY BROWNS CHICKEN,2024-10-10 13:17:39,Food & Beverage,0,57,0.7,0,0.12,943,STABLE OPERATIONS
FRANKLIN,Renewal Licensed,"RETAIL DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",BATTERIES STORE,2023-03-14 16:09:21,Retail Trade,0,332,4.05,0,0.1,894,URGENT INTERVENTION
CALGARY INTERNATIONAL AIRPORT,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),THAI EXPRESS (INTERNATIONAL DEPARTURES),2016-11-14 09:44:38,Food & Beverage,0,198,2.41,0,0.07,943,URGENT INTERVENTION
BELTLINE,Renewal Licensed,PERSONAL SERVICE,SIDS HAIR STUDIO & BARBER SHOP,2012-09-04 14:02:49,Personal,0,971,11.84,0,0.11,449,URGENT INTERVENTION
DEERFOOT BUSINESS CENTRE,Renewal Licensed,MANUFACTURER,ALBERTA BEVERAGE CONTAINER RECYCLING CORPORATION,2014-05-01 15:47:21,Manufacturer,0,133,1.62,0,0.1,72,MONITOR FRICTION
MANCHESTER,Pending Renewal,RETAIL DEALER - PREMISES,SHAPES 'N FIGURES,2004-06-30 10:51:39,Retail Trade,0,165,2.01,0,0.15,894,URGENT INTERVENTION
LOWER MOUNT ROYAL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",SAUCY BURGER,2021-06-22 14:47:13,Food & Beverage,0,145,1.77,0,0.14,943,MONITOR FRICTION
ARBOUR LAKE,Renewal Licensed,RETAIL DEALER - PREMISES,LA-Z-BOY HOME FURNISHINGS & DECOR,2023-11-06 10:23:27,Retail Trade,0,204,2.49,0,0.07,894,URGENT INTERVENTION
STONEY 3,Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",APC AUTO PARTS COMPANY,2025-11-21 15:28:07,Retail Trade,1,250,3.05,1,0.28,894,URGENT INTERVENTION
LOWER MOUNT ROYAL,Pending Renewal,PERSONAL SERVICE (TATTOO),OVAL BEAUTY BAR & LASER CLINIC,2022-06-21 16:54:40,Personal,0,145,1.77,0,0.14,449,MONITOR FRICTION
MARLBOROUGH,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",PHO XUAN RESTAURANT,2001-06-01 00:00:00,Food & Beverage,0,138,1.68,0,0.13,943,MONITOR FRICTION
BELTLINE,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",QUESADA BURRITOS & TACOS,2015-09-17 08:38:24,Food & Beverage,0,971,11.84,0,0.11,943,URGENT INTERVENTION
STONEY 3,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),2118424 ALBERTA,2026-04-07 07:58:58,Construction & Trades,1,250,3.05,1,0.28,404,URGENT INTERVENTION
GREAT PLAINS,Renewal Licensed,RETAIL DEALER - PREMISES,WORLD OF SOCCER,2021-03-23 16:04:34,Retail Trade,0,174,2.12,0,0.07,894,URGENT INTERVENTION
SOUTH CALGARY,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),COUNTERPOINT DANCE ACADEMY MARDA LOOP,2017-02-09 13:13:30,School,0,198,2.41,0,0.22,52,URGENT INTERVENTION
DEERFOOT BUSINESS CENTRE,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",CARLSON BODY SHOP SUPPLY/P B E DISTRIBUTORS,2004-09-03 05:32:02,Retail Trade,0,133,1.62,0,0.1,894,MONITOR FRICTION
PINERIDGE,Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES,
VAPE RETAILER",BEERSHEVA,2025-11-06 10:10:04,Food & Beverage,1,59,0.72,1,0.08,943,STABLE OPERATIONS
UNIVERSITY HEIGHTS,Licensed,FOOD SERVICE - PREMISES (NO SEATING),DAIRY QUEEN/ ORANGE JULIUS,2025-11-25 16:00:29,Food & Beverage,1,68,0.83,1,0.15,943,STABLE OPERATIONS
BRENTWOOD,Renewal Licensed,"RETAIL DEALER - PREMISES,
LIQUOR STORE,
FOOD SERVICE - PREMISES",NORTHMOUNT WINE & SPIRITS,2010-02-23 08:47:01,Food & Beverage,0,182,2.22,0,0.12,943,URGENT INTERVENTION
MAHOGANY,Renewal Licensed,"PERSONAL SERVICE,
MASSAGE CENTRE (COMMERCIAL),
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",ESSENCE WELLNESS CLINIC,2022-01-05 08:17:00,Food & Beverage,0,99,1.21,0,0.03,943,MONITOR FRICTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (NO SEATING),
VAPE RETAILER",SHEFIELD EXPRESS #93,2010-07-27 15:21:49,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
BELTLINE,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",JAMESONS IRISH PUB,2012-03-22 17:30:37,Food & Beverage,0,971,11.84,0,0.11,943,URGENT INTERVENTION
SOUTHWOOD,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),GREEN ISLAND COFFEE SHOP,2017-09-08 16:07:49,Food & Beverage,0,76,0.93,0,0.08,943,STABLE OPERATIONS
PEGASUS,Pending Renewal,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",TIM HORTONS #300,2015-06-30 08:42:49,Food & Beverage,0,45,0.55,0,0.09,943,STABLE OPERATIONS
ALBERT PARK/RADISSON HEIGHTS,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",AMBASSADOR RESTAURANT & BAR,2019-09-05 12:32:38,Food & Beverage,0,63,0.77,0,0.08,943,STABLE OPERATIONS
SHEPARD INDUSTRIAL,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",STARBUCKS COFFEE #4308,2001-06-01 00:00:00,Food & Beverage,0,197,2.4,0,0.09,943,URGENT INTERVENTION
SIGNAL HILL,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),ORANGE BOB PIZZA / CHEF EXPRESS / ONKETO FOODS,2022-04-29 11:25:04,Food & Beverage,0,139,1.7,0,0.08,943,MONITOR FRICTION
SECTION 23,Renewal Invoiced,"SALVAGE COLLECTOR (NO SALVAGE STORAGE WITHIN CALGARY),
CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)",CALGARY AGGREGATE RECYCLING,2018-05-07 10:29:26,Construction & Trades,0,50,0.61,0,0.06,404,STABLE OPERATIONS
RESIDUAL WARD 10 - SUB AREA 10E,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,GRAHAM AUCTIONS,2001-06-01 00:00:00,Retail Trade,0,11,0.13,0,0.0,894,STABLE OPERATIONS
VARSITY,Renewal Licensed,RETAIL DEALER - PREMISES,TIP TOP TAILORS,2017-10-24 08:48:59,Retail Trade,0,259,3.16,0,0.1,894,URGENT INTERVENTION
STONEGATE LANDING,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),HI-CALIBRE VIEWS,2025-12-02 11:16:47,Construction & Trades,1,62,0.76,1,0.23,404,STABLE OPERATIONS
MANCHESTER INDUSTRIAL,Renewal Invoiced,WHOLESALER,NEWELL OUTDOORS,2024-04-17 08:26:57,Wholesaler,0,827,10.09,0,0.1,73,URGENT INTERVENTION
HUNTINGTON HILLS,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),HUNTSVILLE CRES APTS,2012-05-03 05:34:45,Retail Trade,0,54,0.66,0,0.09,894,STABLE OPERATIONS
RICHMOND,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),ARTEMIS,2023-02-02 14:30:19,Retail Trade,0,53,0.65,0,0.11,894,STABLE OPERATIONS
WILLOW PARK,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",DULUX PAINTS,2011-07-19 05:54:18,Retail Trade,0,313,3.82,0,0.1,894,URGENT INTERVENTION
SHEPARD INDUSTRIAL,Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",SOUL LUX,2025-08-12 09:13:45,Food & Beverage,1,197,2.4,1,0.09,943,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,MANUFACTURER,PANELFLEX,2011-01-18 14:43:46,Manufacturer,0,850,10.37,0,0.09,72,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,FOOD SERVICE - PREMISES,POPEYE'S,2010-11-23 11:53:20,Food & Beverage,0,827,10.09,0,0.1,943,URGENT INTERVENTION
EAST SHEPARD INDUSTRIAL,Renewal Licensed,"WHOLESALER,
WAREHOUSING",GREEN DROP,2011-07-12 05:48:40,"Wholesaler,",0,576,7.02,0,0.08,8,URGENT INTERVENTION
WESTWINDS,Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),PDR LAB CALGARY,2025-09-16 12:30:49,Automotive,1,366,4.46,1,0.22,80,URGENT INTERVENTION
MARLBOROUGH,Licensed,LODGING HOUSE,RANNYS PLACE,2026-02-10 10:26:26,Lodging,1,138,1.68,1,0.13,6,MONITOR FRICTION
GREAT PLAINS,Renewal Licensed,MANUFACTURER,DYNAMIC SOURCE MANUFACTURING,2023-11-28 05:33:45,Manufacturer,0,174,2.12,0,0.07,72,URGENT INTERVENTION
EASTFIELD,Renewal Licensed,MANUFACTURER,BENTEK SYSTEMS,2008-09-12 18:20:09,Manufacturer,0,115,1.4,0,0.06,72,MONITOR FRICTION
BELTLINE,Renewal Licensed,"AUTO BODY SHOP,
MOTOR VEHICLE REPAIR AND SERVICE (1)",SUPERIOR PAINT & AUTOBODY SERVICES,2021-01-26 10:28:35,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,MANUFACTURER,ADVANCED FLOW TECHNOLOGIES,2017-07-19 14:41:12,Manufacturer,0,827,10.09,0,0.1,72,URGENT INTERVENTION
WESTWINDS,Renewal Invoiced,"DISTRIBUTION MANAGER,
CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)",SOHANI PARTY TENT RENTAL,2025-04-23 08:57:11,Construction & Trades,1,366,4.46,0,0.22,404,URGENT INTERVENTION
EDGEMONT,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",AROMA DIM SUM,2020-11-23 11:17:56,Food & Beverage,0,52,0.63,0,0.04,943,STABLE OPERATIONS
SOUTH FOOTHILLS,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),STRATUS ELECTRICAL AND INSTRUMENTATION,2025-09-03 13:36:16,Construction & Trades,1,123,1.5,1,0.12,404,MONITOR FRICTION
MANCHESTER INDUSTRIAL,Licensed,WHOLESALER,8SIGMA ENERGY SERVICES,2026-01-09 10:01:23,Wholesaler,1,827,10.09,1,0.1,73,URGENT INTERVENTION
Unknown,Renewal Licensed,"TOBACCO RETAILER,
FUEL SALES/STORAGE,
FOOD SERVICE - PREMISES,
VAPE RETAILER",CALGARY CO-OP GAS BAR #08,2001-06-01 00:00:00,Food & Beverage,0,28,0.34,0,0.04,943,STABLE OPERATIONS
HAYSBORO,Renewal Licensed,PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR),GARDEN (THE),2022-07-19 11:54:44,Personal,0,212,2.59,0,0.13,449,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",TIM HORTONS,2018-12-20 07:52:05,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
MISSION,Licensed,CONTRACTOR,HOPEWELL RESIDENTIAL,2025-08-28 15:52:03,Construction & Trades,1,164,2.0,1,0.13,404,MONITOR FRICTION
MARLBOROUGH,Renewal Licensed,PERSONAL SERVICE,GENTS CLUB BARBERSHOP,2022-08-11 10:05:44,Personal,0,138,1.68,0,0.13,449,MONITOR FRICTION
CALGARY INTERNATIONAL AIRPORT,Pending Renewal,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (NO SEATING)",STARBUCKS US,2004-07-07 07:54:06,Food & Beverage,0,198,2.41,0,0.07,943,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,PERSONAL SERVICE,DANIELLE KAE STUDIO,2024-11-05 15:34:32,Personal,0,830,10.12,0,0.13,449,URGENT INTERVENTION
STONEY 3,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),ORIGINAL SWEETS EVENTS CATERINGS,2025-01-06 07:32:32,Food & Beverage,0,250,3.05,0,0.28,943,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
RETAIL DEALER - PREMISES",DYNAMIC MOTION GOLF PERFORMANCE,2018-11-09 11:47:21,Retail Trade,0,827,10.09,0,0.1,894,URGENT INTERVENTION
BELTLINE,Renewal Licensed,"MANUFACTURER,
RETAIL DEALER - PREMISES",VISTEK,2001-06-01 00:00:00,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
FAIRVIEW INDUSTRIAL,Licensed,RETAIL DEALER - PREMISES,DEKORA,2026-03-05 08:22:35,Retail Trade,1,325,3.96,1,0.1,894,URGENT INTERVENTION
FOOTHILLS,Renewal Invoiced,MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),ATTENTION TOO DETAIL,2020-04-14 12:27:35,Automotive,0,850,10.37,0,0.09,80,URGENT INTERVENTION
KINGSLAND,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL),
FOOD SERVICE - PREMISES",MODERN NATURAL THERAPY,2017-12-22 05:30:12,Food & Beverage,0,124,1.51,0,0.08,943,MONITOR FRICTION
ROSSCARROCK,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),TOBYDANY INVESTMENT,2019-12-19 07:40:09,Retail Trade,0,91,1.11,0,0.14,894,STABLE OPERATIONS
STONEY 2,Renewal Licensed,CONTRACTOR,CANWEST CONCRETE CUTTING & SEALING,2008-04-24 10:25:05,Construction & Trades,0,98,1.2,0,0.1,404,STABLE OPERATIONS
GREAT PLAINS,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",U A P / N A P A WESTERN AUTOMOTIVE,2015-10-13 13:37:13,Retail Trade,0,174,2.12,0,0.07,894,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,"PERSONAL SERVICE,
RETAIL DEALER - PREMISES",SEPHORA BEAUTY CANADA,2013-08-29 11:18:01,Retail Trade,0,830,10.12,0,0.13,894,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Pending Renewal,"RETAIL DEALER - PREMISES,
WHOLESALER",DRAGONWOOD DOORS AND LUMBER,2019-09-04 09:27:49,Retail Trade,0,827,10.09,0,0.1,894,URGENT INTERVENTION
SOUTH AIRWAYS,Renewal Invoiced,"RETAIL DEALER - PREMISES,
SECONDHAND DEALER,
WHOLESALER",DIGITAL JUNCTION,2025-05-16 09:04:15,Retail Trade,1,496,6.05,0,0.1,894,URGENT INTERVENTION
SOUTHVIEW,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (DRINKING ESTABLISHMENT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",BIG AL'S BAR & GRILL,2001-06-01 00:00:00,Food & Beverage,0,92,1.12,0,0.11,943,STABLE OPERATIONS
FOOTHILLS,Licensed,FOOD SERVICE - PREMISES,FRESH PORTIONS CALGARY,2025-11-25 14:41:21,Food & Beverage,1,850,10.37,1,0.09,943,URGENT INTERVENTION
FRANKLIN,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
HOTEL/MOTEL,
ALCOHOL BEVERAGE SALES (DRINKING ESTABLISHMENT),
FOOD SERVICE - PREMISES (SEATING)",BEST WESTERN CALGARY PLAZA HOTEL,2001-06-01 00:00:00,Food & Beverage,0,332,4.05,0,0.1,943,URGENT INTERVENTION
SIGNAL HILL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",SUSHI & KITCHEN,2020-01-08 10:11:10,Food & Beverage,0,139,1.7,0,0.08,943,MONITOR FRICTION
PINERIDGE,Renewal Licensed,"PERSONAL SERVICE,
MASSAGE CENTRE (COMMERCIAL),
RETAIL DEALER - PREMISES",ALUX SPA,2017-07-20 15:56:38,Retail Trade,0,59,0.72,0,0.08,894,STABLE OPERATIONS
BURNS INDUSTRIAL,Renewal Licensed,WHOLESALER,ALBERTA DOOR SYSTEMS,2021-07-13 14:47:11,Wholesaler,0,204,2.49,0,0.08,73,URGENT INTERVENTION
